Particulars,Note,FY2025,FY2024,FY2023,FY2022,FY2021
(a) Revenue,34,"4,36,821","4,31,212","3,42,874.59","2,75,235.23","2,46,972.17"
(b) Other operating revenues,34,"2,874","2,804","3,092.38","3,218.39","2,822.58"
I. Total revenue from operations,34,"4,39,695","4,34,016","3,45,966.97","2,78,453.62","2,49,794.75"
II. Other income,35,"6,244","5,692","4,633.18","3,053.63","2,643.19"
III. Total Income (I+II),,"4,45,939","4,39,708","3,50,600.15","2,81,507.25","2,52,437.94"
IV. Expenses:,,,,,,
(a)(i) Cost of materials consumed,,"2,41,148","2,49,278","2,08,218.05","1,59,598.06","1,41,392.43"
(a)(ii) Basis adjustment on hedge accounted derivatives,,-,-,726.26,"1,322.50",(35.16)
(b) Purchase of products for sale,,"27,802","25,043","22,306.95","18,374.77","12,250.09"
"(c) Changes in inventories of finished goods, work-in-progress and products for sale",,"2,836","(1,566)","(4,781.62)","1,590.49","4,684.16"
(d) Employee benefits expense,36,"47,767","41,990","33,654.70","30,808.52","27,648.48"
(e) Finance costs,37,"5,083","7,594","10,225.48","9,311.86","8,097.17"
(f) Compulsorily convertible preference share measured at fair value (gain)/loss,,(84),48,13.75,14.45,-
(g) Foreign exchange (gain)/loss (net),,(922),15,(103.88),78.68,"(1,732.15)"
(h) Depreciation and amortisation expense,,"23,256","27,239","24,860.36","24,835.69","23,546.71"
(i) Product development/engineering expenses,38(ii),"10,716","10,959","10,661.96","9,209.50","5,226.63"
(j) Other expenses,39,"85,399","77,198","61,785.96","47,133.85","40,921.97"
(k) Amount transferred to capital and other account,38(i),"(31,105)","(26,758)","(18,434.84)","(14,397.29)","(12,849.13)"
Total Expenses (IV),,"4,11,896","4,11,040","3,49,133.13","2,87,881.08","2,49,151.20"
V. Profit/(loss) before exceptional items and tax (III-IV),,"34,043","28,668","1,467.02","(6,373.83)","3,286.74"
VI. Share of profit in equity accounted investees (net) [FY25/24 only; FY23-21 shown after tax as item X],8,287,700,-,-,-
VII. Profit before exceptional items and tax (V+VI) [FY25/24 only],,"34,330","29,368",-,-,-
Exceptional items - Defined benefit pension plan amendment past service cost/(credit),,-,-,"(1,495.07)",-,84.81
Exceptional items - Employee separation cost,,-,-,1.45,9.83,459.90
Exceptional items - Restructuring cost at JLR / Charge associated with change in JLR Strategy,,-,-,-,-,"14,994.30"
Exceptional items - Write off/provision for tangible/intangible assets (including under development) (net),,-,-,229.96,-,114.00
Exceptional items - Reversal for onerous contracts and related supplier claims,,-,-,(61.03),-,(663.00)
Exceptional items - Reversal of Impairment/(Impairment) in Passenger Vehicle Business,8(a),-,-,-,-,"(1,182.41)"
Exceptional items - Reversal for cost of closure of operation of a subsidiary,,-,-,-,(21.47),(46.58)
Exceptional items - Reversal of Impairment in subsidiaries,8(c),-,-,(214.39),(86.26),-
Exceptional items - Cost of slump sale of passenger vehicle undertaking,,-,-,9.00,301.34,-
Exceptional items - Provision for Russia market,49(e),-,-,-,428.66,-
Exceptional items - Others / Other exceptional items,49(c),-,-,(60.45),(2.52),-
Exceptional items - Impairment in subsidiaries,,-,-,-,-,353.20
Exceptional items - Provision for loan given to a Joint venture,,-,-,-,-,25.12
VIII. Exceptional items [loss]/gain (net) - Total,40,550,939,"(1,590.53)",629.58,"13,761.02"
IX. Profit before tax from continuing operations (VII-VIII) [FY25/24],,"33,780","28,429",-,-,-
VII. Profit/(loss) before tax (V-VI) [FY23/22/21 numbering],,-,-,"3,057.55","(7,003.41)","(10,474.28)"
Current tax (including Minimum Alternate Tax),,"5,023","4,937","3,258.35","2,669.98","1,710.18"
Deferred tax,,"5,479","(8,961)","(2,554.29)","1,561.31",831.68
Total tax expense/(credit) (net),22,"10,502","(4,024)",704.06,"4,231.29","2,541.86"
Profit/(loss) for the year from continuing operations,,"23,278","32,453","2,353.49","(11,234.70)","(13,016.14)"
"Share of profit/(loss) of joint ventures and associates / equity accounted investees (net) [FY23-21 numbering, post-tax]",9,-,-,336.38,(74.06),(378.96)
Profit/(loss) before tax for the year from discontinued operation,51,"4,975",(474),-,-,-
Tax expense of discontinued operations,51,104,172,-,-,-
Profit/(loss) for the year from discontinued operation,,"4,871",(646),-,-,-
Profit/(loss) for the year,,"28,149","31,807","2,689.87","(11,308.76)","(13,395.10)"
Attributable to: Shareholders of the Company,,"27,830","31,399","2,414.29","(11,441.47)","(13,451.39)"
Attributable to: Non-controlling interests,,319,408,275.58,132.71,56.29
Other comprehensive income (A)(i)(a) Remeasurement gains/(losses) on defined benefit obligations (net),,(125),"(4,286)",(198.00),"7,083.47","(7,285.87)"
Other comprehensive income (A)(i)(b) Equity instruments at FVOCI (net),,123,427,(137.65),392.46,415.86
Other comprehensive income (A)(i)(c) Share of OCI in equity accounted investees (net),,-,-,6.29,4.77,3.02
Other comprehensive income (A)(ii) Income tax (expense)/credit relating to items not reclassified,,(22),"1,031",73.53,(963.79),"1,369.11"
Other comprehensive income (B)(i)(a) Exchange differences in translating foreign operations,,"3,625",793,737.36,(325.94),"3,720.98"
