Particulars,FY2025,FY2024,FY2023,FY2022,FY2021
Profit/(Loss) for the year,"23,278 (continuing)","32,453 (continuing)","2,689.87","(11,308.76)","(13,395.10)"
Profit/(loss) for the year from discontinued operation,"4,871",(646),-,-,-
Depreciation and amortisation expense,"23,256","27,270","24,860.36","24,835.69","23,546.71"
Allowances for finance receivables,-,"1,153","2,039.15","1,307.59",957.93
Allowances/(reversal) for trade and other receivables,109,197,80.63,151.26,50.01
Inventory write-down (net),337,"1,334",723.21,125.34,129.19
Discounting of warranty and other provisions,80,(107),(140.76),-,-
Reversal for costs of closure of operations of a subsidiary company,-,-,-,(3.32),(51.99)
Write off/provision (reversal) for tangible/intangible assets (net),-,-,229.95,-,114.00
Restructuring cost at JLR / Charge associated with change in JLR Strategy,-,-,-,-,"14,994.30"
Reversal of Impairment in subsidiaries,-,-,(214.39),(104.42),-
Impairment in subsidiaries,-,-,-,-,353.20
Impairment losses/(Reversal) in Passenger Vehicle Business,-,-,-,-,"(1,182.41)"
Reversal for onerous contracts and related supplier claims,-,-,(61.03),-,(663.00)
Other exceptional items / Defined benefit pension plan amendment past service cost/(credit),-,-,"(1,495.07)/(61.99)",-,84.81
Employee separation cost,-,-,-,-,430.76
Fair value adjustments in relation to asset held for sale,-,58,-,-,-
Non cash exceptional items,492,977,-,-,-
Gain on Disposal due to merger of Tata Motors Finance Ltd with Tata Capital Ltd,"(4,975)",-,-,-,-
Accrual for share-based payments,48,43,30.03,18.05,9.04
Lease charges (Amortisation considered as employee cost),121,-,-,-,-
Marked-to-market gain on investments measured at fair value through profit or loss,(8),(24),(93.27),-,(19.91)
Loss on sale of assets (including assets scrapped/written off) (net),232,303,354.96,94.19,265.59
Profit on sale of investments (net),(224),(263),(303.44),(266.56),(177.26)
Share of (profit)/loss of joint ventures and associates / equity accounted investees (net),(287),(700),(336.38),74.06,378.96
Tax expense/(credit) (net) (including discontinued operation),"10,606","(3,852)",704.06,"4,231.29","2,541.86"
Finance costs (and Compulsorily convertible preference share measured at Fair Value),"5,083","9,986","10,239.23","9,326.31","8,097.17"
Compulsorily convertible preference share measured at fair value (gain)/loss,(84),48,-,-,-
Interest income,"(2,473)","(2,608)","(1,251.18)",(625.22),(492.53)
Dividend income,(64),(47),(46.42),(34.22),(18.37)
Other non cash item,(77),68,-,-,-
Gain on fair value of below market interest loans,(40),-,-,-,-
Unrealised/Foreign exchange (gain)/loss (net),"(1,344)",(537),"3,746.61",(878.51),"(4,402.12)"
Cash flows from operating activities before changes in following assets and liabilities,"58,937","65,106","41,694.13","26,942.77 / 26,666.17","31,197.64"
Finance receivables,-,(725),617.45,(75.63),"(4,386.94)"
Trade receivables,"3,573","(1,151)","(2,830.10)",412.34 / 261.08,"(1,118.35)"
Loans and other financial assets / Loans and advances and other financial assets,"(3,289)","(3,083)",(736.04),129.26,"(1,308.92)"
Other current and non-current assets,"(3,183)","1,666","(3,182.09)","(5,312.17)","3,853.53"
Inventories,"2,127","(7,265)","(5,665.36)",597.40 / 472.06,"3,814.50"
Trade payables (and acceptances),"1,303","13,706","6,944.85","(7,011.86)","5,748.15"
Other current and non-current liabilities,"2,364","4,699",537.16,"(3,065.37)","2,217.87"
Other financial liabilities,(553),"1,845",706.43,(178.55),"(1,168.39)"
Provisions,"5,814","(2,367)",480.57,"4,030.88","(7,744.02)"
Cash generated from operations / Cash from operations,"67,093","72,431","38,567.00","16,192.47","31,105.07"
Income tax paid (net),"(3,991)","(4,516)","(3,178.99)","(1,909.64)","(2,104.56)"
Net cash from operating activities,"63,102","67,915","35,388.01","14,282.83","29,000.51"
"Payments for property, plant and equipments","(15,189)","(12,975)","(8,492.63)","(9,039.40)","(11,775.65)"
Payments for other intangible assets,"(22,853)","(18,439)","(9,603.05)","(6,129.02)","(8,429.75)"
"Proceeds from sale of property, plant and equipments",974,231,285.03,230.10,350.58
Payment for acquisition of Ford assets,-,-,(836.29),-,-
Loan given to a related party,-,(207),-,-,-
Settlement of loan given to a related party,-,207,-,-,-
Investments in mutual fund (purchased)/sold (net),"(12,603)","5,143","3,963.25","(2,968.54)","(7,432.85)"
Disposal of subsidiaries (net of cash disposed) / Disposal of subsidiary companies,765,107,19.37,(98.45),-
Acquisition of subsidiary (net of cash acquired) / Acquisition of subsidiary company,(688),-,-,-,-
Investment in an associate company / Investment in equity accounted investees,-,(150),-,-,(9.90)
Investment in government securities,-,"(5,492)","(2,839.87)","(1,228.21)",-
Proceeds from sale of investments in government securities,106,"5,400","2,872.88",-,-
Purchase of other assets with a view to resale,-,-,(298.20),-,-
Investments-others,(74),(74),(50.00),(39.71),(97.30)
Proceeds from loans given to others,-,-,-,-,3.42
Loans given to joint venture,-,-,-,-,(1.70)
Proceeds from sale of investments in other companies,5,278,59.33,103.55,225.82
Proceeds from disposal of defence business,-,-,-,234.09,-
Interest received,"2,420","2,493",973.44,652.94,427.51
Dividend received,64,47,46.42,32.01,18.37
Dividend received from equity accounted investees,111,49,21.69,-,1.51
Inter corporate deposits given,(20),(25),-,-,-
Deposit/restricted deposits with financial institution,-,-,"(2,169.57)",(600.00),"(1,000.00)"
Realisation of deposit with financial institution,-,-,"1,469.59","1,300.00",750.00
Deposits/restricted deposits with banks,"(8,626)","(7,326)","(17,723.34)","(13,203.08)","(38,243.27)"
Realisation of deposits/restricted deposits with banks,"8,014","7,905","15,497.79","25,978.60","39,088.68"
(Increase)/decrease in short term Inter-corporate deposits,-,-,-,-,(14.44)
Net cash used in investing activities,"(47,594)","(22,828)","(16,804.16)","(4,775.12)","(26,126.25)"
Proceeds from issue of shares (and warrants/share application pending allotment) (net of issue expenses),35,82,19.60,18.59,"2,602.51"
Proceeds from issuance of compulsorily convertible preference shares,-,-,"3,750.00","3,750.00",-
Expenses paid on cancellation of 'A' Ordinary shares,(63),-,-,-,-
Proceeds received on cancellation of 'A' Ordinary shares towards TDS liability,"1,073",-,-,-,-
Payment towards TDS liability on cancellation of 'A' Ordinary shares,"(1,073)",-,-,-,-
Proceeds from sale of shares to non-controlling interest by a subsidiary,-,"3,812",-,-,-
Buy back of stake from minority shareholders,-,-,(295.92),-,-
Payment for acquisition of minority stake of subsidiary,-,-,(99.50),-,-
Proceeds from long-term borrowings,"7,386","11,629","16,315.06","31,308.62","29,642.36"
Repayment of long-term borrowings,"(19,600)","(31,675)","(31,559.46)","(23,355.80)","(18,629.61)"
Proceeds/(payments) from option settlement of long term borrowings,186,(83),(106.51),(97.77),35.01
Repayment of matured fixed deposits,-,-,-,-,(0.48)
Proceeds from short-term borrowings,846,"10,194","28,125.45","16,866.24","20,807.15"
Repayment of short-term borrowings,"(1,843)","(15,656)","(30,997.82)","(19,460.45)","(11,078.93)"
Net change in other short-term borrowings (with maturity up to three months),"4,966","(2,994)",(753.73),"(1,975.59)","(4,544.27)"
Repayment of lease liability (including interest),"(2,393)","(1,924)","(1,516.61)","(1,558.95)","(1,477.28)"
Distribution to non-controlling interest / Dividend paid to non-controlling interest shareholders of subsidiaries,(189),(290),(140.88),(98.39),(28.75)
Proceeds from issuance/(payment) for acquisition of shares from non-controlling interest,-,-,-,-,0.24
Dividend paid (including transferred to IEPF),"(2,303)",(769),-,(1.53),(1.56)
Proceeds from issuance of perpetual debt instrument classified as equity by a subsidiary (net),-,-,353.38,476.28,700.75
Interest paid (including discounting charges paid),"(5,814)","(9,332)","(9,335.96)","(9,251.42)","(8,122.94)"
Net cash (used in)/from financing activities,"(18,786)","(37,006)","(26,242.90)","(3,380.17)","9,904.20"
Net (decrease)/increase in cash and cash equivalents,"(3,278)","8,081","(7,659.05)","6,127.54","12,778.46"
Cash and cash equivalents as at April 1 (opening balance),"40,015","31,887","38,159.01","31,700.01","18,467.80"
Cash and cash equivalents reclassified as held-for-sale,(232),-,-,-,-
Disposal due to merger of Tata Motors Finance Ltd with Tata Capital Ltd,"(2,999)",-,-,-,-
Effect of foreign exchange on cash and cash equivalents,843,47,"1,386.99",331.46,453.75
Cash and cash equivalents as at March 31 (closing balance),"34,349","40,015","31,886.95","38,159.01","31,700.01"
"Liability towards property, plant and equipment and intangible assets purchased on credit/deferred credit","5,241","4,870","3,941.33","4,547.68","5,367.84"
