Particulars,Segment,FY2025,FY2024,FY2023,FY2022,FY2021
External revenue,Commercial vehicle,"74,049","76,962","69,324.40","52,497.46","33,317.71"
External revenue,Passenger vehicle*,"47,807","50,277","45,845.17","30,986.90","16,606.24"
External revenue,Vehicle Financing,46,94,"4,438.78","4,374.42","4,276.88"
External revenue,Unallocable,15,15,187.41,224.15,157.48
External revenue,Total - Tata and other brand vehicle,"1,21,871","1,27,254","1,15,356.98 (subtotal excl. VF/JLR shown as total incl. below)","83,708.51","50,081.43"
External revenue,Jaguar Land Rover,"3,14,032","3,02,756","2,22,845.42","1,87,696.74","1,93,822.71"
External revenue,Others,"3,746","3,912","3,325.79","2,673.95","1,613.73"
External revenue,Total,"4,39,695","4,34,016","3,45,966.97","2,78,453.62","2,49,794.75"
Segment results (EBIT),Commercial vehicle,"6,814","6,483","3,693.28",210.21,(305.44)
Segment results (EBIT),Passenger vehicle*,472,"1,016",542.17,(660.13),"(1,564.16)"
Segment results (EBIT),Vehicle Financing,(270),(205),"(1,385.09)",(253.19),(57.45)
Segment results (EBIT),Unallocable,(516),(280),(157.84),(62.47),(74.89)
Segment results (EBIT),Total - Tata and other brand vehicle,"6,770","7,219","4,077.61",(512.39),"(1,944.49)"
Segment results (EBIT),Jaguar Land Rover,"27,764","25,382","3,481.69",(439.39),"7,691.03"
Segment results (EBIT),Intra-segment eliminations,(19),(78),(17.56),(90.20),-
Segment results (EBIT),Others,939,968,826.24,624.73,319.47
Segment results (EBIT),Inter-segment eliminations,(118),34,15.13,53.75,66.70
Segment results (EBIT),Total,"35,066","33,320","6,998.02",(616.69),"6,075.26"
Depreciation and amortisation expense,Commercial vehicle,"2,046","2,036","1,616.70","1,743.20","1,701.46"
Depreciation and amortisation expense,Passenger vehicle*,"2,899","2,351","2,583.93","2,304.59","1,914.19"
Depreciation and amortisation expense,Vehicle Financing,41,37,57.46,59.69,61.36
Depreciation and amortisation expense,Unallocable,160,145,138.80,149.93,157.49
Depreciation and amortisation expense,Total - Tata and other brand vehicle,"5,105","4,532","4,339.43","4,197.72","3,773.14"
Depreciation and amortisation expense,Jaguar Land Rover,"18,105","22,671","20,443.60","20,576.99","19,741.70"
Depreciation and amortisation expense,Others,127,124,97.27,1.29,96.62
Depreciation and amortisation expense,Total,"23,256","27,238","24,860.36","24,835.69","23,546.71"
Capital expenditure,Commercial vehicle,"2,103",-,"2,201.59","2,021.90","1,656.11"
Capital expenditure,Passenger vehicle*,"4,179",-,"3,347.25",659.42,822.78
Capital expenditure,Vehicle Financing,58,-,36.31,20.43,67.51
Capital expenditure,Unallocable,-,-,6.15,1.00,(68.24)
Capital expenditure,Total - Tata and other brand vehicle,"6,282",-,"5,554.99","2,682.32","2,410.65"
Capital expenditure,Jaguar Land Rover,"34,388",-,"12,950.52","12,159.88","16,289.59"
Capital expenditure,Others,(198),-,63.08,44.67,(39.18)
Capital expenditure,Total,"40,531",-,"18,542.63","14,907.30","18,728.57"
Segment assets,Commercial vehicle,"33,379",-,"30,250.90","30,407.96","27,086.92"
Segment assets,Passenger vehicle*,"22,963",-,"19,591.89","15,843.63","16,296.91"
Segment assets,Vehicle Financing,"8,172",-,"35,650.96","38,544.67","39,565.55"
Segment assets,Unallocable,"1,404",-,"1,469.01",822.17,"2,086.18"
Segment assets,Total - Tata and other brand vehicle,"57,746",-,"51,311.80","47,073.76","45,470.01"
Segment assets,Jaguar Land Rover,"2,20,711",-,"1,81,214.15","1,72,267.94","1,79,341.50"
Segment assets,Others,"5,532",-,"4,051.44","3,465.00","2,477.58"
Segment assets,Total,"2,89,847",-,"2,68,610.65","2,60,221.94","2,65,584.75"
Segment liabilities,Commercial vehicle,"25,147",-,"22,543.11","21,230.50","18,038.77"
Segment liabilities,Passenger vehicle*,"14,201",-,"12,618.89","10,932.34","6,035.88"
Segment liabilities,Vehicle Financing,22,-,"1,241.37",966.20,837.32
Segment liabilities,Unallocable,"1,477",-,"1,252.27",209.55,"1,106.16"
Segment liabilities,Total - Tata and other brand vehicle,"40,825",-,"36,414.27","32,372.39","25,180.81"
Segment liabilities,Jaguar Land Rover,"1,43,273",-,"1,06,380.14","94,698.42","1,14,420.20"
Segment liabilities,Others,"3,106",-,"2,252.12","2,020.15","1,508.46"
Segment liabilities,Total,"1,86,210",-,"1,43,718.07","1,29,698.78","1,41,675.32"
Total assets (reconciled),Total,"3,78,642","3,70,664","3,36,081.38","3,30,619.93","3,43,125.80"
Total liabilities (reconciled),Total,"2,55,888",-,"2,83,481.87","2,81,787.63","2,86,305.59"
