Particulars,FY2025,FY2024,FY2023,FY2022,FY2021
Authorised - Ordinary shares of Rs.2 each (number),"5,00,00,00,000","4,00,00,00,000","4,00,00,00,000","4,00,00,00,000","4,00,00,00,000"
Authorised - Ordinary shares (Rs. crores),"1,000",800,800.00,800.00,800.00
Authorised - 'A' Ordinary shares (number),NIL,"1,00,00,00,000","1,00,00,00,000","1,00,00,00,000","1,00,00,00,000"
Authorised - 'A' Ordinary shares (Rs. crores),-,200,200.00,200.00,200.00
Authorised - Convertible Cumulative Preference shares (Rs. crores),"3,000","3,000","3,000.00","3,000.00","3,000.00"
Total Authorised Capital (Rs. crores),"4,000","4,000","4,000.00","4,000.00","4,000.00"
Issued - Ordinary shares of Rs.2 each (number),"3,68,20,04,551","3,32,42,31,560","3,32,18,36,884","3,32,11,54,566","3,32,08,00,324"
Issued - Ordinary shares (Rs. crores),736,665,664.37,664.23,664.16
Issued - 'A' Ordinary shares (number),NIL,"50,87,36,110","50,87,36,110","50,87,36,110","50,87,36,110"
Issued - 'A' Ordinary shares (Rs. crores),-,102,101.75,101.75,101.75
Total Issued Capital (Rs. crores),736,767,766.12,765.98,765.91
Subscribed and called up - Ordinary shares (number),"3,68,13,48,742","3,32,37,39,001","3,32,13,44,325","3,32,06,62,007","3,32,03,07,765"
Subscribed and called up - Ordinary shares (Rs. crores),736,665,664.27,664.13,664.06
Subscribed and called up - 'A' Ordinary shares (number),NIL,"50,85,02,896","50,85,02,896","50,85,02,896","50,85,02,896"
Subscribed and called up - 'A' Ordinary shares (Rs. crores),-,102,101.70,101.70,101.70
Total Subscribed and called up (Rs. crores),736,767,765.97,765.83,765.76
Paid-up share capital (Rs. crores),736,767,765.97 (paid-up before forfeited),765.83 (paid-up before forfeited),765.76 (paid-up before forfeited)
Total (Paid-up + Forfeited) (Rs. crores),736,767,766.02,765.88,765.81
Face Value per share,Rs.2,Rs.2,Rs.2,Rs.2,Rs.2
Basic EPS - Ordinary shares - total (continuing+discontinued) (Rs.),78.80,81.95,6.29,(29.88),(36.99)
Diluted EPS - Ordinary shares - total (Rs.),78.75,81.88,6.29,(29.88),(36.99)
Basic EPS - 'A' Ordinary shares - total (Rs.),NA,82.05,6.39,(29.88),(36.99)
Diluted EPS - 'A' Ordinary shares - total (Rs.),NA,81.98,6.39,(29.88),(36.99)
