Particulars,FY2025,FY2024,FY2023,FY2022,FY2021
Long-term Borrowings - Secured - Term loans from banks,-,"12,980",-,-,-
Long-term Borrowings - Secured - Others,334,306,275.86,250.73,226.11
Long-term Borrowings - Secured - Privately placed Non-Convertible Debentures,-,-,-,"1,994.68","2,769.58"
Long-term Borrowings - Secured - Collateralized debt obligations,-,-,-,332.33,"1,260.87"
Long-term Borrowings - Secured - Term loans from financial institutions,-,-,-,"1,345.10","2,992.85"
Long-term Borrowings - Unsecured - Privately placed Non-Convertible Debentures,"3,739","3,574","7,689.05","7,884.83","5,151.85"
Long-term Borrowings - Unsecured - Perpetual Debentures,"1,282","1,770","1,744.09","1,718.20","1,320.15"
Long-term Borrowings - Unsecured - Term loans from banks,"11,180","8,938","21,585.29","22,790.25","20,468.26"
Long-term Borrowings - Unsecured - Term loans from other parties,413,383,360.81,-,168.19
Long-term Borrowings - Unsecured - Senior notes,"23,269","34,198","46,152.39","49,873.48","46,642.21"
Long-term Borrowings - Unsecured - Others,-,-,10.82,355.72,10.81
Total Long-term Borrowings,"40,217","62,149","88,695.81","97,759.17","93,112.77"
Short-term Borrowings - Secured - Loans from banks,"1,620","2,914","2,293.93","4,801.28","6,298.57"
Short-term Borrowings - Secured - Current maturities of long-term borrowings,971,"7,683","9,936.19","7,739.08","6,993.79"
Short-term Borrowings - Unsecured - Loans from banks,"4,067",760,"6,878.29","6,478.92","7,019.31"
Short-term Borrowings - Unsecured - Inter corporate deposits from associates,-,92,48.00,241.00,95.00
Short-term Borrowings - Unsecured - Commercial paper,-,"1,969","4,846.62","5,857.18","8,249.91"
Short-term Borrowings - Unsecured - Current maturities of long-term borrowings,"15,624","22,934","12,961.63","16,800.41","14,135.16"
Total Short-term Borrowings,"22,282","36,352","36,964.66","41,917.87","42,791.74 (report shows 21,662.79 as FY21 balance sheet total; 42,791.74 restated per FY22 comparative)"
Lease liabilities - Non-current,"7,642","7,670","7,568.49","5,962.44","5,412.06"
Lease liabilities - Current,"1,399","1,093",884.48,809.55,814.00
Compulsorily Convertible Preference Shares - liability portion (Non-current),"2,464","2,548",-,-,-
Current maturities of long-term borrowings - Secured - Privately placed Non-Convertible Debentures,-,-,"1,998.77",778.55,681.25
Current maturities of long-term borrowings - Secured - Term loans from banks,953,"7,683","7,937.42","5,910.53","5,195.05"
Current maturities of long-term borrowings - Secured - Term loans from other financial institutions,-,-,-,"1,050.00","1,117.49"
Current maturities of long-term borrowings - Secured - Others,18,-,-,-,-
Current maturities of long-term borrowings - Unsecured - Privately placed Non-Convertible Debentures,875,"4,307","1,629.42","2,454.57","3,816.98"
Current maturities of long-term borrowings - Unsecured - Collateralised debt obligation,-,-,74.87,850.21,"1,712.78"
Current maturities of long-term borrowings - Unsecured - Senior Notes,"11,890","8,136","6,794.73","7,748.41","6,216.03"
Current maturities of long-term borrowings - Unsecured - Term loans from banks and others,"2,859","10,491","4,462.62","5,747.22","2,063.37"
Current maturities of long-term borrowings - Unsecured - Others,-,-,-,-,326.00
