Particulars,FY2025,FY2024,FY2023,FY2022,FY2021
Gross PPE (Cost) - Opening balance (April 1),"1,94,992","1,95,678","1,88,791.96","1,79,171.53","1,62,571.95"
Additions to PPE (Cost),"8,786","8,836","6,448.31","13,487.21","8,553.95"
Additions on account of business/subsidiary acquisition,307,-,627.71 (Ford plant acquisition),0.69,0.69 (FY2020 figure; FY2021 additions through business acquisitions not separately reported)
Assets classified as held for sale (Cost),(91),(764),(634.35),(168.34),-
Disposal/Adjustments (Cost),"(8,607)","(13,126)","(3,204.12)","(1,546.69)",(982.41)
Currency translation differences (Cost),"7,145","4,407","3,648.82","(2,151.75)","9,027.35"
Gross PPE (Cost) - Closing balance (March 31),"2,02,108","1,94,992","1,95,678.33","1,88,791.96","1,79,171.53"
Accumulated depreciation - Opening balance (April 1),"1,21,866","1,21,866 (FY24 opening = FY23 closing, see FY25 filing)","1,07,891.83","99,531.48","84,689.12"
Depreciation for the year,"11,203","13,048","11,798.87","11,068.12","10,872.96"
Reversal of Impairment loss,-,-,-,-,(530.75)
Assets classified as held for sale (Accumulated depreciation),(6),(319),(57.56),(90.38),-
Disposal/Adjustments (Accumulated depreciation),"(8,154)","(12,838)","(2,864.77)","(1,381.03)",(601.87)
Provision/(Reversal) for impairment/Write off (Accumulated depreciation),-,81,(58.77),(35.27),63.86 (Writeoff/impairment of assets)
Currency translation differences (Accumulated depreciation),"4,771","2,852","2,327.30","(1,201.09)","5,038.02"
Accumulated depreciation - Closing balance (March 31),"1,29,572","1,21,866","1,19,036.90","1,07,891.83","99,531.48"
Net PPE (Net carrying amount),"72,536","73,125","76,641.43","80,900.13","79,640.05"
Capital Work-in-Progress (CWIP) - Balance at the beginning,"10,937","5,220","3,529.04","8,377.14","8,599.56"
CWIP - Additions,"14,729","14,124","7,364.73","8,354.02","9,592.57"
CWIP - Additions on account of Ford plant acquisition,-,-,313.22,-,-
"CWIP - Transferred to cost of Property, plant and equipment","(8,639)","(8,582)","(6,119.09)","(13,145.37)","(8,114.42)"
CWIP - (Provision)/Reversal for impairment/(Write off) (Net),-,(1),(0.11),(72.28),"(2,229.48)"
CWIP - Currency translation impact,640,176,132.08,15.53,528.91
Capital Work-in-Progress (CWIP) - Balance at the end,"17,624","10,937","5,219.87","3,529.04","8,377.14"
