Particulars,Note,FY2025,FY2024,FY2023,FY2022,FY2021
Trade receivables - Receivables considered good,14/15,"13,345","17,069","15,737.97","12,442.12","12,679.08"
Trade receivables - Credit impaired receivables,14/15,653,634,821.24,851.56,989.19
Trade receivables - Gross Total,14/15,"13,998","17,703","16,559.21","13,293.68","13,668.27"
Trade receivables - Less: Allowance for receivables considered good,14/15,(97),(117),-,-,-
Trade receivables - Less: Allowance for credit impaired receivables,14/15,(653),(634),(821.24),(851.56),(989.19)
Trade receivables - Net Total,14/15,"13,248","16,952","15,737.97","12,442.12","12,679.08"
Inventories - Raw materials and components,13/14,"3,081","3,401","4,164.96","4,032.42","3,029.64"
Inventories - Work-in-progress,13/14,"5,942","6,182","5,840.74","5,596.54","4,373.48"
Inventories - Finished goods,13/14,"36,196","36,622","29,171.27","23,885.39","27,313.14"
Inventories - Stores and spare parts,13/14,305,277,228.91,208.02,185.33
Inventories - Consumable tools,13/14,614,490,465.87,468.33,485.07
Inventories - Goods-in-transit-Raw materials and components,13/14,"1,131",816,883.64,"1,049.64",701.93
Inventories - Total,13/14,"47,269","47,788","40,755.39","35,240.34","36,088.59"
Trade payables - Outstanding dues of micro and small enterprises,30,452,502,316.01,183.92,186.21
Trade payables - Outstanding dues of creditors other than micro and small enterprises,30,"93,626","87,540","71,739.76","59,786.46","67,993.63"
Trade payables - Acceptances,,"3,290","5,936","7,195.99","9,779.95","7,860.31"
Other current assets - Advances and other receivables,20/21,"1,121","1,578",980.59,815.21,517.55
Other current assets - Research and development expenditure credit,20/21,"2,554","1,869",-,-,-
"Other current assets - GST/VAT, other Taxes recoverable, statutory deposits and dues from government",20/21,"3,393","3,343","5,486.49","4,031.28","4,175.18"
Other current assets - Prepaid expenses,20/21,"2,997","2,445","2,256.78","2,029.30","1,220.13"
Other current assets - Contract assets,20/21,"1,447","1,004",-,-,-
Other current assets - Employee benefits,20/21,-,-,-,-,43.93
Other current assets - Others,20/21,282,190,863.47,690.09,341.61
Other current assets - Total,20/21,"11,794","10,429","9,587.33","7,565.88","6,298.40"
Other current liabilities - Contract liabilities,32/33,-,-,"6,283.85","6,558.65","5,735.93"
Other current liabilities - Government grants,32/33,-,-,812.07,946.92,750.34
Other current liabilities - Statutory dues,32/33,-,-,"3,804.17","4,143.75","3,729.69"
Other current liabilities - Others,32/33,-,-,132.91,112.22,227.22
Other current liabilities - Total,32/33,"13,340","12,990","11,033.00","11,761.54","10,443.18"
