Particulars,Note,FY2025,FY2024,FY2023,FY2022,FY2021
Cash and cash equivalents - Cash on hand,15/16,0,7,7.72,11.47,11.11
Cash and cash equivalents - Cheques on hand,15/16,98,287,198.07,156.24,27.92
Cash and cash equivalents - Balances with banks,15/16,"6,649","6,497","8,067.10","10,310.66","8,679.66"
Cash and cash equivalents - Deposits with banks,15/16,"27,602","33,224","23,614.06","27,680.64","22,981.32"
Cash and cash equivalents - Total,15/16,"34,349","40,015","31,886.95","38,159.01","31,700.01"
Other bank balances - Earmarked balances with banks,16/17,413,590,641.51,472.60,746.45
Other bank balances - Bank deposits,16/17,"6,072","5,202","4,487.10","2,037.58","14,346.00"
Other bank balances - Total,16/17,"6,485","5,792","5,128.61","2,510.18","15,092.45"
Short-Term Investments - Measured at FVOCI,10/11,-,7,-,-,-
Short-Term Investments - Measured at FVTPL (incl. Mutual funds),10/11,"7,193","2,889","4,076.48","5,804.12","2,972.35"
Short-Term Investments - Measured at amortised cost (incl. Mutual funds),10/11,"20,006","11,357","14,761.83","16,905.10","16,078.84"
Short-Term Investments - Total,10/11,"27,199","14,253","18,838.31","22,709.22","19,051.19"
Long-Term Investments - Measured at FVOCI,9/10,"1,709","1,755","1,334.96","1,472.62","1,080.16"
Long-Term Investments - Measured at FVTPL,9/10,614,547,454.23,305.69,288.14
Long-Term Investments - Measured at amortised cost,9/10,600,"1,076","1,076.00",542.61,-
Long-Term Investments - Total,9/10,"2,923","3,378","2,865.19","2,320.92","1,368.30"
