Particulars,FY2025,FY2024,FY2023,FY2022,FY2021
Gross Intangibles - Cost Opening balance,"1,25,941","1,22,954 (122,953.54)","1,23,866","1,24,268.33","99,167.88 (FY2020 opening)"
Additions (incl. subsidiary acquisition),"3,577 (+546 acquisition)","4,172","7,629","11,956.27","17,581.53"
Disposals/Asset fully amortised not in use/Adjustments,"(31,247)","(4,854)","(11,049)","(10,834.32)",(24.67)
Currency translation differences,"5,289","3,671","2,507","(1,524.20)","7,542.49"
Gross Intangibles - Cost Closing balance,"1,03,069","1,25,942","1,22,954 (122,953.54)","1,23,866.08","1,24,268.33"
Accumulated amortisation - Opening balance,"86,700","76,157","73,404","72,495.15","56,995.97"
Amortisation for the year,"10,630","12,924","11,954","12,651.55","11,501.71"
Asset fully amortised not in use/Disposals/Adjustments,"(31,705)","(4,758)","(11,049)","(10,834.32)",(22.94)
Provision/(Reversal) for impairment / Write off,-,-,-,-,(428.86)
Currency translation differences,"3,654","2,377","1,848",(908.43),"4,449.07"
Accumulated amortisation - Closing balance,"69,279","86,701 (86,700.99)","76,157 (76,156.85)","73,403.95","72,495.15"
Net Intangible Assets (of which: Software),"2,595","2,399","2,170","2,219.20","2,702.52"
Net Intangible Assets (of which: Patents and technological know-how),238,212,243,115.08,119.75
Net Intangible Assets (of which: Customer related intangibles),62,80,150,172.84,200.83
Net Intangible Assets (of which: Intellectual property rights and other intangibles),55,66,82,117.84,152.01
Net Intangible Assets (of which: Indefinite life trade marks and patents),"5,127","4,861","4,705","4,685.72","4,748.98"
Net Intangible Assets (of which: Product development),"25,713","31,622","39,446","43,151.45","43,849.09"
Net Intangible Assets - Total,"33,790","39,241 (39,241.05)","46,797 (46,796.69)","50,462.13","51,773.18"
Goodwill,895,860,841 (840.60),807.17,803.72
Intangible assets under development (Capital work-in-progress relating to intangibles),"48,182","24,761","9,055 (9,054.63)","6,722.05","12,586.79"
